Store,Date,Weekly_Sales,Holiday_Flag,Temperature,CPI,Unemployment
3,02-04-2010,423294.4,0,65.56,214.1180803,7.343
3,09-04-2010,415870.28,0,68,213.9120595,7.343
3,16-04-2010,354993.26,0,66.98,213.7726889,7.343
3,23-04-2010,339976.65,0,67.87,213.7221852,7.343
3,30-04-2010,361248.39,0,70.24,213.6716815,7.343
3,07-05-2010,399323.86,0,73.47,213.6211778,7.343
3,14-05-2010,384357.94,0,77.18,213.6196139,7.343
3,21-05-2010,343763.17,0,75.81,213.9116886,7.343
3,28-05-2010,350089.23,0,78.6,214.2037634,7.343
3,04-06-2010,396968.8,0,78.53,214.4958382,7.343
3,11-06-2010,355017.09,0,82.1,214.787913,7.343
3,18-06-2010,364076.85,0,83.52,214.7858259,7.343
4,05-02-2010,2135143.87,0,43.76,126.4420645,8.623
4,12-02-2010,2188307.39,1,28.84,126.4962581,8.623
4,19-02-2010,2049860.26,0,36.45,126.5262857,8.623
4,26-02-2010,1925728.84,0,41.36,126.5522857,8.623
4,05-03-2010,1971057.44,0,43.49,126.5782857,8.623
4,12-03-2010,1894324.09,0,49.63,126.6042857,8.623
4,19-03-2010,1897429.36,0,55.19,126.6066452,8.623
4,26-03-2010,1762539.3,0,39.91,126.6050645,8.623
4,02-04-2010,1979247.12,0,48.77,126.6034839,7.896
4,09-04-2010,1818452.72,0,54.16,126.6019032,7.896
4,16-04-2010,1851519.69,0,56.23,126.5621,7.896
4,23-04-2010,1802677.9,0,56.87,126.4713333,7.896
4,30-04-2010,1817273.28,0,53.04,126.3805667,7.896
4,07-05-2010,2000626.14,0,56.77,126.2898,7.896
4,14-05-2010,1875597.28,0,62.35,126.2085484,7.896
4,21-05-2010,1903752.6,0,67.4,126.1843871,7.896
4,28-05-2010,1857533.7,0,67.73,126.1602258,7.896
4,04-06-2010,1903290.58,0,70.83,126.1360645,7.896
4,11-06-2010,1870619.23,0,78.45,126.1119032,7.896
4,18-06-2010,1929736.35,0,81.53,126.114,7.896
5,05-02-2010,317173.1,0,39.7,211.6539716,6.566
5,12-02-2010,311825.7,1,39.81,211.8004698,6.566
5,19-02-2010,303447.57,0,41.14,211.8471283,6.566
5,26-02-2010,270281.63,0,46.7,211.8771468,6.566
5,05-03-2010,288855.71,0,48.89,211.9071653,6.566
5,12-03-2010,297293.59,0,58.5,211.9371839,6.566
5,19-03-2010,281706.41,0,55.46,211.770897,6.566
5,26-03-2010,273282.97,0,52.47,211.5718925,6.566
5,02-04-2010,331406,0,63.18,211.372888,6.465
5,09-04-2010,328020.49,0,65.19,211.1738835,6.465
5,16-04-2010,306858.69,0,65.3,211.0388528,6.465
5,23-04-2010,288839.73,0,65.13,210.9891204,6.465
5,30-04-2010,298697.84,0,67.53,210.939388,6.465
5,07-05-2010,333522.6,0,71.53,210.8896556,6.465
5,14-05-2010,296673.77,0,74.79,210.8872772,6.465
5,21-05-2010,301615.49,0,75.2,211.169023,6.465
5,28-05-2010,310013.11,0,79.81,211.4507688,6.465
5,04-06-2010,337825.89,0,79.54,211.7325146,6.465
5,11-06-2010,296641.91,0,80.7,212.0142605,6.465
5,18-06-2010,313795.6,0,83.91,212.0119769,6.465
6,05-02-2010,1652635.1,0,40.43,212.6223518,7.259
6,12-02-2010,1606283.86,1,40.57,212.7700425,7.259
6,19-02-2010,1567138.07,0,43.58,212.8161546,7.259
6,26-02-2010,1432953.21,0,47.1,212.845337,7.259
6,05-03-2010,1601348.82,0,49.63,212.8745193,7.259
6,12-03-2010,1558621.36,0,58.82,212.9037017,7.259
6,19-03-2010,1693058.91,0,56.55,212.7351935,7.259
6,26-03-2010,1472033.38,0,53.74,212.533737,7.259
6,02-04-2010,1770333.9,0,64.94,212.3322805,7.092
6,09-04-2010,1667181.82,0,66.15,212.1308239,7.092
6,16-04-2010,1519846.36,0,65.68,211.9942765,7.092
6,23-04-2010,1540435.99,0,64.11,211.9442745,7.092
6,30-04-2010,1498080.16,0,68.91,211.8942725,7.092
6,07-05-2010,1619920.04,0,73.68,211.8442706,7.092
6,14-05-2010,1524059.4,0,74.95,211.8421769,7.092
6,21-05-2010,1531938.44,0,74.8,212.1275324,7.092
6,28-05-2010,1644470.66,0,78.89,212.412888,7.092
6,04-06-2010,1857380.09,0,79.44,212.6982436,7.092
6,11-06-2010,1685652.35,0,81.81,212.9835992,7.092
6,18-06-2010,1677248.24,0,83.89,212.9813843,7.092
7,05-02-2010,496725.44,0,10.53,189.3816974,9.014
7,12-02-2010,524104.92,1,25.9,189.4642725,9.014
7,19-02-2010,506760.54,0,27.28,189.5340998,9.014
7,26-02-2010,496083.24,0,24.91,189.6018023,9.014
7,05-03-2010,491419.55,0,35.86,189.6695049,9.014
7,12-03-2010,480452.1,0,27.25,189.7372075,9.014
7,19-03-2010,574450.23,0,29.04,189.734262,9.014
7,26-03-2010,514731.6,0,23.33,189.7195417,9.014
7,02-04-2010,561145.14,0,38.26,189.7048215,8.963
7,09-04-2010,484263.25,0,33.79,189.6901012,8.963
7,16-04-2010,406228.19,0,41.89,189.6628845,8.963
7,23-04-2010,404751.25,0,43.07,189.6190057,8.963
7,30-04-2010,373655.61,0,38.99,189.575127,8.963
7,07-05-2010,395453.83,0,40.07,189.5312483,8.963
7,14-05-2010,372673.61,0,41.41,189.4904116,8.963
7,21-05-2010,395195.65,0,46.6,189.467827,8.963
7,28-05-2010,442734.55,0,54.24,189.4452425,8.963
7,04-06-2010,509183.22,0,53.63,189.422658,8.963
7,11-06-2010,498580.87,0,63.59,189.4000734,8.963
7,18-06-2010,481144.09,0,52.7,189.4185259,8.963
8,05-02-2010,1004137.09,0,34.14,214.4714512,6.299
8,12-02-2010,994801.4,1,33.34,214.6214189,6.299
8,19-02-2010,963960.37,0,39.1,214.6664878,6.299
8,26-02-2010,847592.11,0,37.91,214.6940735,6.299
8,05-03-2010,881503.95,0,45.64,214.7216592,6.299
8,12-03-2010,860336.16,0,49.76,214.7492449,6.299
8,19-03-2010,839911,0,47.26,214.5764954,6.299
8,26-03-2010,772539.12,0,46.51,214.3703567,6.299
8,02-04-2010,914500.91,0,60.18,214.164218,6.29
8,09-04-2010,916033.92,0,59.25,213.9580793,6.29
8,16-04-2010,882917.12,0,62.66,213.8186357,6.29
8,23-04-2010,850440.26,0,56.1,213.768119,6.29
8,30-04-2010,778672.64,0,61.01,213.7176024,6.29
8,07-05-2010,916820.96,0,62.68,213.6670857,6.29
8,14-05-2010,873337.84,0,61.35,213.6655355,6.29
8,21-05-2010,818333.21,0,66.03,213.9577839,6.29
8,28-05-2010,868041.56,0,74.71,214.2500323,6.29
8,04-06-2010,958225.41,0,75.71,214.5422806,6.29
8,11-06-2010,914835.86,0,82.21,214.834529,6.29
8,18-06-2010,869922.56,0,78.79,214.8324452,6.29
9,05-02-2010,549505.55,0,38.01,214.6554591,6.415
9,12-02-2010,552677.48,1,37.08,214.8056534,6.415
9,19-02-2010,511327.9,0,43.06,214.8506185,6.415
9,26-02-2010,473773.27,0,43.83,214.8780453,6.415
9,05-03-2010,507297.88,0,48.43,214.9054721,6.415
9,12-03-2010,494145.8,0,55.76,214.932899,6.415
9,19-03-2010,485744.61,0,53.15,214.7597274,6.415
9,26-03-2010,484946.56,0,51.8,214.5531227,6.415
9,02-04-2010,545206.32,0,65.21,214.3465181,6.384
9,09-04-2010,529384.31,0,64.95,214.1399135,6.384
9,16-04-2010,485764.32,0,66.09,214.0001817,6.384
9,23-04-2010,488683.57,0,61.26,213.9496138,6.384
9,30-04-2010,491723.42,0,66.07,213.8990459,6.384
9,07-05-2010,526128.61,0,68.58,213.848478,6.384
9,14-05-2010,492792.8,0,70.53,213.8469819,6.384
9,21-05-2010,506274.94,0,71.5,214.1399162,6.384
9,28-05-2010,558143.53,0,77.12,214.4328505,6.384
9,04-06-2010,586061.46,0,79.65,214.7257848,6.384
9,11-06-2010,522715.68,0,83.75,215.0187191,6.384
9,18-06-2010,513073.87,0,82.99,215.0166484,6.384
10,05-02-2010,2193048.75,0,54.34,126.4420645,9.765
10,12-02-2010,2176028.52,1,49.96,126.4962581,9.765
10,19-02-2010,2113432.58,0,58.22,126.5262857,9.765
10,26-02-2010,2006774.96,0,52.77,126.5522857,9.765
10,05-03-2010,1987090.09,0,55.92,126.5782857,9.765
10,12-03-2010,1941346.13,0,52.33,126.6042857,9.765
10,19-03-2010,1946875.06,0,61.46,126.6066452,9.765
10,26-03-2010,1893532.46,0,60.05,126.6050645,9.765
10,02-04-2010,2138651.97,0,63.66,126.6034839,9.524
10,09-04-2010,2041069.37,0,65.29,126.6019032,9.524
10,16-04-2010,1826241.44,0,69.74,126.5621,9.524
10,23-04-2010,1829521.83,0,66.42,126.4713333,9.524
10,30-04-2010,1790694.59,0,69.76,126.3805667,9.524
10,07-05-2010,1921432.16,0,71.06,126.2898,9.524
10,14-05-2010,1808056.41,0,73.88,126.2085484,9.524
10,21-05-2010,1847613.58,0,78.32,126.1843871,9.524
10,28-05-2010,1904618.17,0,76.67,126.1602258,9.524
10,04-06-2010,1931406.28,0,82.82,126.1360645,9.524
10,11-06-2010,1827521.71,0,89.67,126.1119032,9.524
10,18-06-2010,1837636.24,0,83.49,126.114,9.524
